ten_3:270000001-275000000	TEN_168
ten_3:275000001-280000000	TEN_169
ten_3:280000001-280393862	TEN_170
ten_4:1-5000000	TEN_171
ten_4:5000001-10000000	TEN_172
ten_4:10000001-15000000	TEN_173
ten_4:15000001-20000000	TEN_174
ten_4:20000001-25000000	TEN_175
ten_4:25000001-30000000	TEN_176
ten_4:30000001-35000000	TEN_177
ten_4:35000001-40000000	TEN_178
ten_4:40000001-45000000	TEN_179
ten_4:45000001-50000000	TEN_180
ten_4:50000001-55000000	TEN_181
ten_4:55000001-60000000	TEN_182
ten_4:60000001-65000000	TEN_183
ten_4:65000001-70000000	TEN_184
ten_4:70000001-75000000	TEN_185
ten_4:75000001-80000000	TEN_186
ten_4:80000001-85000000	TEN_187
ten_4:85000001-90000000	TEN_188
ten_4:90000001-95000000	TEN_189
ten_4:95000001-100000000	TEN_190
ten_4:100000001-105000000	TEN_191
ten_4:105000001-110000000	TEN_192
ten_4:110000001-115000000	TEN_193
ten_4:115000001-120000000	TEN_194
ten_4:120000001-125000000	TEN_195
ten_4:125000001-130000000	TEN_196
ten_4:130000001-135000000	TEN_197
ten_4:135000001-140000000	TEN_198
ten_4:140000001-145000000	TEN_199
ten_4:145000001-150000000	TEN_200
ten_4:150000001-155000000	TEN_201
ten_4:155000001-160000000	TEN_202
ten_4:160000001-165000000	TEN_203
ten_4:165000001-170000000	TEN_204
ten_4:170000001-175000000	TEN_205
ten_4:175000001-180000000	TEN_206
ten_4:180000001-185000000	TEN_207
ten_4:185000001-190000000	TEN_208
ten_4:190000001-195000000	TEN_209
ten_4:195000001-200000000	TEN_210
ten_4:200000001-205000000	TEN_211
ten_4:205000001-210000000	TEN_212
ten_4:210000001-215000000	TEN_213
ten_4:215000001-220000000	TEN_214
ten_4:220000001-225000000	TEN_215
ten_4:225000001-230000000	TEN_216
ten_4:230000001-235000000	TEN_217
ten_4:235000001-237578202	TEN_218
ten_5:1-5000000	TEN_219
ten_5:5000001-10000000	TEN_220
ten_5:10000001-15000000	TEN_221
ten_5:15000001-20000000	TEN_222
ten_5:20000001-25000000	TEN_223
