afr_4:75000001-80000000	AFR_168
afr_4:80000001-85000000	AFR_169
afr_4:85000001-90000000	AFR_170
afr_4:90000001-95000000	AFR_171
afr_4:95000001-100000000	AFR_172
afr_4:100000001-105000000	AFR_173
afr_4:105000001-110000000	AFR_174
afr_4:110000001-115000000	AFR_175
afr_4:115000001-120000000	AFR_176
afr_4:120000001-125000000	AFR_177
afr_4:125000001-130000000	AFR_178
afr_4:130000001-135000000	AFR_179
afr_4:135000001-140000000	AFR_180
afr_4:140000001-145000000	AFR_181
afr_4:145000001-150000000	AFR_182
afr_4:150000001-155000000	AFR_183
afr_4:155000001-160000000	AFR_184
afr_4:160000001-165000000	AFR_185
afr_4:165000001-170000000	AFR_186
afr_4:170000001-175000000	AFR_187
afr_4:175000001-180000000	AFR_188
afr_4:180000001-185000000	AFR_189
afr_4:185000001-190000000	AFR_190
afr_4:190000001-195000000	AFR_191
afr_4:195000001-200000000	AFR_192
afr_4:200000001-205000000	AFR_193
afr_4:205000001-210000000	AFR_194
afr_4:210000001-215000000	AFR_195
afr_4:215000001-215578929	AFR_196
afr_5:1-5000000	AFR_197
afr_5:5000001-10000000	AFR_198
afr_5:10000001-15000000	AFR_199
afr_5:15000001-20000000	AFR_200
afr_5:20000001-25000000	AFR_201
afr_5:25000001-30000000	AFR_202
afr_5:30000001-35000000	AFR_203
afr_5:35000001-40000000	AFR_204
afr_5:40000001-45000000	AFR_205
afr_5:45000001-50000000	AFR_206
afr_5:50000001-55000000	AFR_207
afr_5:55000001-60000000	AFR_208
afr_5:60000001-65000000	AFR_209
afr_5:65000001-70000000	AFR_210
afr_5:70000001-75000000	AFR_211
afr_5:75000001-80000000	AFR_212
afr_5:80000001-85000000	AFR_213
afr_5:85000001-90000000	AFR_214
afr_5:90000001-95000000	AFR_215
afr_5:95000001-100000000	AFR_216
afr_5:100000001-105000000	AFR_217
afr_5:105000001-110000000	AFR_218
afr_5:110000001-115000000	AFR_219
afr_5:115000001-120000000	AFR_220
afr_5:120000001-125000000	AFR_221
afr_5:125000001-130000000	AFR_222
afr_5:130000001-135000000	AFR_223
afr_5:135000001-140000000	AFR_224
afr_5:140000001-145000000	AFR_225
afr_5:145000001-150000000	AFR_226
afr_5:150000001-155000000	AFR_227
afr_5:155000001-160000000	AFR_228
afr_5:160000001-165000000	AFR_229
afr_5:165000001-170000000	AFR_230
afr_5:170000001-175000000	AFR_231
afr_5:175000001-180000000	AFR_232
afr_5:180000001-185000000	AFR_233
afr_5:185000001-190000000	AFR_234
afr_5:190000001-195000000	AFR_235
afr_5:195000001-200000000	AFR_236
afr_5:200000001-205000000	AFR_237
afr_5:205000001-210000000	AFR_238
afr_5:210000001-213936056	AFR_239
afr_6:1-5000000	AFR_240
afr_6:5000001-10000000	AFR_241
afr_6:10000001-15000000	AFR_242
afr_6:15000001-20000000	AFR_243
afr_6:20000001-25000000	AFR_244
afr_6:25000001-30000000	AFR_245
afr_6:30000001-35000000	AFR_246
afr_6:35000001-40000000	AFR_247
afr_6:40000001-45000000	AFR_248
afr_6:45000001-50000000	AFR_249
afr_6:50000001-55000000	AFR_250
afr_6:55000001-60000000	AFR_251
afr_6:60000001-65000000	AFR_252
afr_6:65000001-70000000	AFR_253
afr_6:70000001-75000000	AFR_254
afr_6:75000001-80000000	AFR_255
afr_6:80000001-85000000	AFR_256
afr_6:85000001-90000000	AFR_257
afr_6:90000001-95000000	AFR_258
afr_6:95000001-100000000	AFR_259
afr_6:100000001-105000000	AFR_260
afr_6:105000001-110000000	AFR_261
afr_6:110000001-115000000	AFR_262
afr_6:115000001-120000000	AFR_263
afr_6:120000001-125000000	AFR_264
afr_6:125000001-130000000	AFR_265
afr_6:130000001-135000000	AFR_266
afr_6:135000001-140000000	AFR_267
afr_6:140000001-145000000	AFR_268
afr_6:145000001-150000000	AFR_269
afr_6:150000001-155000000	AFR_270
afr_6:155000001-160000000	AFR_271
afr_6:160000001-165000000	AFR_272
afr_6:165000001-170000000	AFR_273
afr_6:170000001-175000000	AFR_274
afr_6:175000001-180000000	AFR_275
afr_6:180000001-185000000	AFR_276
afr_6:185000001-190000000	AFR_277
afr_6:190000001-193862479	AFR_278
afr_7:1-5000000	AFR_279
afr_7:5000001-10000000	AFR_280
afr_7:10000001-15000000	AFR_281
afr_7:15000001-20000000	AFR_282
afr_7:20000001-25000000	AFR_283
afr_7:25000001-30000000	AFR_284
