lin_7:125000001-130000000	LIN_169
lin_7:130000001-135000000	LIN_170
lin_7:135000001-140000000	LIN_171
lin_7:140000001-145000000	LIN_172
lin_7:145000001-150000000	LIN_173
lin_7:150000001-155000000	LIN_174
lin_7:155000001-160000000	LIN_175
lin_7:160000001-165000000	LIN_176
lin_7:165000001-168854905	LIN_177
lin_8:1-5000000	LIN_178
lin_8:5000001-10000000	LIN_179
lin_8:10000001-15000000	LIN_180
lin_8:15000001-20000000	LIN_181
lin_8:20000001-25000000	LIN_182
lin_8:25000001-30000000	LIN_183
lin_8:30000001-35000000	LIN_184
lin_8:35000001-40000000	LIN_185
lin_8:40000001-45000000	LIN_186
lin_8:45000001-50000000	LIN_187
lin_8:50000001-55000000	LIN_188
lin_8:55000001-60000000	LIN_189
lin_8:60000001-65000000	LIN_190
lin_8:65000001-70000000	LIN_191
lin_8:70000001-75000000	LIN_192
lin_8:75000001-80000000	LIN_193
lin_8:80000001-85000000	LIN_194
lin_8:85000001-90000000	LIN_195
lin_8:90000001-95000000	LIN_196
lin_8:95000001-100000000	LIN_197
lin_8:100000001-105000000	LIN_198
lin_8:105000001-110000000	LIN_199
lin_8:110000001-115000000	LIN_200
lin_8:115000001-120000000	LIN_201
lin_8:120000001-125000000	LIN_202
lin_8:125000001-130000000	LIN_203
lin_8:130000001-132303394	LIN_204
lin_9:1-5000000	LIN_205
lin_9:5000001-10000000	LIN_206
lin_9:10000001-15000000	LIN_207
lin_9:15000001-20000000	LIN_208
lin_9:20000001-25000000	LIN_209
lin_9:25000001-30000000	LIN_210
lin_9:30000001-35000000	LIN_211
lin_9:35000001-40000000	LIN_212
lin_9:40000001-45000000	LIN_213
lin_9:45000001-50000000	LIN_214
lin_9:50000001-55000000	LIN_215
lin_9:55000001-60000000	LIN_216
lin_9:60000001-65000000	LIN_217
lin_9:65000001-70000000	LIN_218
lin_9:70000001-75000000	LIN_219
lin_9:75000001-80000000	LIN_220
lin_9:80000001-85000000	LIN_221
lin_9:85000001-90000000	LIN_222
lin_9:90000001-95000000	LIN_223
lin_9:95000001-100000000	LIN_224
lin_9:100000001-105000000	LIN_225
lin_9:105000001-105823470	LIN_226
lin_10:1-5000000	LIN_227
lin_10:5000001-10000000	LIN_228
lin_10:10000001-15000000	LIN_229
lin_10:15000001-20000000	LIN_230
lin_10:20000001-25000000	LIN_231
lin_10:25000001-30000000	LIN_232
lin_10:30000001-35000000	LIN_233
lin_10:35000001-40000000	LIN_234
lin_10:40000001-45000000	LIN_235
lin_10:45000001-50000000	LIN_236
lin_10:50000001-55000000	LIN_237
lin_10:55000001-60000000	LIN_238
lin_10:60000001-65000000	LIN_239
lin_10:65000001-70000000	LIN_240
lin_10:70000001-75000000	LIN_241
lin_10:75000001-80000000	LIN_242
lin_10:80000001-82218947	LIN_243
lin_11:1-5000000	LIN_244
lin_11:5000001-10000000	LIN_245
lin_11:10000001-15000000	LIN_246
lin_11:15000001-20000000	LIN_247
lin_11:20000001-25000000	LIN_248
lin_11:25000001-30000000	LIN_249
lin_11:30000001-35000000	LIN_250
lin_11:35000001-40000000	LIN_251
lin_11:40000001-45000000	LIN_252
lin_11:45000001-50000000	LIN_253
lin_11:50000001-55000000	LIN_254
lin_11:55000001-60000000	LIN_255
lin_11:60000001-65000000	LIN_256
lin_11:65000001-70000000	LIN_257
lin_11:70000001-75000000	LIN_258
lin_11:75000001-80000000	LIN_259
lin_11:80000001-85000000	LIN_260
lin_11:85000001-90000000	LIN_261
lin_11:90000001-91740314	LIN_262
lin_12:1-5000000	LIN_263
lin_12:5000001-10000000	LIN_264
lin_12:10000001-15000000	LIN_265
lin_12:15000001-20000000	LIN_266
lin_12:20000001-25000000	LIN_267
lin_12:25000001-30000000	LIN_268
lin_12:30000001-35000000	LIN_269
lin_12:35000001-40000000	LIN_270
lin_12:40000001-45000000	LIN_271
lin_12:45000001-50000000	LIN_272
lin_12:50000001-55000000	LIN_273
lin_12:55000001-60000000	LIN_274
lin_12:60000001-65000000	LIN_275
lin_12:65000001-70000000	LIN_276
lin_12:70000001-75000000	LIN_277
lin_12:75000001-80000000	LIN_278
lin_12:80000001-85000000	LIN_279
lin_12:85000001-90000000	LIN_280
lin_12:90000001-95000000	LIN_281
lin_12:95000001-100000000	LIN_282
lin_12:100000001-105000000	LIN_283
lin_12:105000001-110000000	LIN_284
lin_12:110000001-115000000	LIN_285
lin_12:115000001-120000000	LIN_286
lin_12:120000001-125000000	LIN_287
lin_12:125000001-130000000	LIN_288
lin_12:130000001-135000000	LIN_289
lin_12:135000001-137477993	LIN_290
lin_13:1-5000000	LIN_291
lin_13:5000001-10000000	LIN_292
lin_13:10000001-15000000	LIN_293
lin_13:15000001-20000000	LIN_294
lin_13:20000001-25000000	LIN_295
lin_13:25000001-30000000	LIN_296
lin_13:30000001-35000000	LIN_297
lin_13:35000001-40000000	LIN_298
lin_13:40000001-45000000	LIN_299
lin_13:45000001-50000000	LIN_300
lin_13:50000001-55000000	LIN_301
lin_13:55000001-60000000	LIN_302
lin_13:60000001-65000000	LIN_303
lin_13:65000001-70000000	LIN_304
lin_13:70000001-75000000	LIN_305
lin_13:75000001-80000000	LIN_306
lin_13:80000001-85000000	LIN_307
lin_13:85000001-90000000	LIN_308
lin_13:90000001-95000000	LIN_309
lin_13:95000001-100000000	LIN_310
lin_13:100000001-105000000	LIN_311
lin_13:105000001-110000000	LIN_312
lin_13:110000001-115000000	LIN_313
lin_13:115000001-118588460	LIN_314
lin_14:1-5000000	LIN_315
lin_14:5000001-10000000	LIN_316
lin_14:10000001-15000000	LIN_317
lin_14:15000001-20000000	LIN_318
lin_14:20000001-25000000	LIN_319
lin_14:25000001-30000000	LIN_320
lin_14:30000001-35000000	LIN_321
lin_14:35000001-40000000	LIN_322
lin_14:40000001-45000000	LIN_323
lin_14:45000001-50000000	LIN_324
lin_14:50000001-55000000	LIN_325
lin_14:55000001-60000000	LIN_326
lin_14:60000001-65000000	LIN_327
lin_14:65000001-70000000	LIN_328
lin_14:70000001-75000000	LIN_329
lin_14:75000001-78175397	LIN_330
lin_15:1-5000000	LIN_331
lin_15:5000001-10000000	LIN_332
lin_15:10000001-15000000	LIN_333
lin_15:15000001-20000000	LIN_334
lin_15:20000001-25000000	LIN_335
lin_15:25000001-30000000	LIN_336
lin_15:30000001-35000000	LIN_337
lin_15:35000001-40000000	LIN_338
lin_15:40000001-45000000	LIN_339
lin_15:45000001-50000000	LIN_340
lin_15:50000001-55000000	LIN_341
lin_15:55000001-60000000	LIN_342
lin_15:60000001-65000000	LIN_343
lin_15:65000001-70000000	LIN_344
lin_15:70000001-75000000	LIN_345
lin_15:75000001-78668303	LIN_346
lin_16:1-5000000	LIN_347
lin_16:5000001-10000000	LIN_348
lin_16:10000001-15000000	LIN_349
lin_16:15000001-20000000	LIN_350
