ind_id	first_mating_time	sex
male_0	14.399999999999965	male
male_1	40.60000000000031	male
male_2	31.100000000000172	male
male_3	3.5000000000000018	male
male_7	2.0000000000000004	male
male_8	2.1000000000000005	male
male_10	6.699999999999992	male
male_12	0.30000000000000004	male
male_13	10.19999999999998	male
male_14	7.599999999999989	male
male_15	8.499999999999986	male
male_18	6.699999999999992	male
male_22	27.300000000000118	male
male_24	25.900000000000098	male
male_25	86.09999999999938	male
male_26	17.69999999999998	male
male_27	27.50000000000012	male
male_28	2.2000000000000006	male
male_32	2.9000000000000012	male
male_33	13.999999999999966	male
male_35	52.00000000000047	male
male_36	6.5999999999999925	male
male_37	6.199999999999994	male
male_39	57.00000000000054	male
male_41	93.09999999999899	male
male_42	3.3000000000000016	male
male_44	0.5	male
male_45	3.600000000000002	male
male_47	17.49999999999998	male
male_48	23.800000000000068	male
male_49	15.79999999999996	male
male_50	49.50000000000043	male
male_52	8.899999999999984	male
male_53	13.09999999999997	male
male_54	24.100000000000072	male
male_55	18.39999999999999	male
male_57	1.4000000000000001	male
male_58	86.69999999999935	male
male_60	15.89999999999996	male
male_61	117.79999999999758	male
male_62	14.099999999999966	male
male_63	12.99999999999997	male
male_64	75.00000000000001	male
male_65	40.60000000000031	male
male_67	52.80000000000048	male
male_68	55.900000000000524	male
male_69	34.70000000000022	male
male_70	45.00000000000037	male
male_74	9.799999999999981	male
male_77	1.9000000000000006	male
male_79	11.899999999999974	male
male_81	8.799999999999985	male
male_82	22.300000000000047	male
male_84	19.500000000000007	male
male_87	0.7	male
male_88	57.400000000000546	male
male_94	16.599999999999966	male
male_99	1.0999999999999999	male
male_100	42.90000000000034	male
male_101	4.999999999999998	male
male_108	3.4000000000000017	male
male_111	19.80000000000001	male
male_113	13.699999999999967	male
male_114	15.299999999999962	male
male_115	7.999999999999988	male
male_116	24.300000000000075	male
male_119	5.699999999999996	male
male_120	10.09999999999998	male
male_121	0.2	male
male_122	16.599999999999966	male
male_125	189.19999999999354	male
male_126	21.300000000000033	male
male_127	84.89999999999945	male
male_130	11.199999999999976	male
male_131	0.9999999999999999	male
male_132	10.899999999999977	male
male_134	76.09999999999995	male
male_135	26.70000000000011	male
male_138	54.1000000000005	male
male_139	82.79999999999957	male
male_143	44.90000000000037	male
male_144	49.80000000000044	male
male_145	20.30000000000002	male
male_147	44.50000000000036	male
male_150	9.499999999999982	male
male_160	1.3	male
male_161	23.800000000000068	male
male_167	2.9000000000000012	male
male_168	6.499999999999993	male
male_169	6.5999999999999925	male
male_170	30.20000000000016	male
male_172	6.099999999999994	male
male_173	1.2	male
male_182	28.10000000000013	male
male_183	4.899999999999999	male
male_187	18.099999999999987	male
male_188	90.39999999999914	male
male_191	25.800000000000097	male
male_193	1.2	male
male_197	17.299999999999976	male
male_199	72.70000000000014	male
male_202	4.200000000000001	male
male_203	61.70000000000061	male
male_204	138.39999999999642	male
male_206	66.10000000000052	male
male_211	10.799999999999978	male
male_212	0.30000000000000004	male
male_213	51.50000000000046	male
male_214	44.700000000000365	male
male_216	33.2000000000002	male
male_218	51.30000000000046	male
male_220	3.0000000000000013	male
male_222	48.70000000000042	male
male_225	27.900000000000126	male
male_227	24.300000000000075	male
male_229	30.000000000000156	male
male_231	13.09999999999997	male
male_233	11.899999999999974	male
male_234	87.69999999999929	male
male_236	7.999999999999988	male
male_237	15.399999999999961	male
male_239	10.699999999999978	male
male_241	53.30000000000049	male
male_242	31.60000000000018	male
male_243	22.800000000000054	male
male_246	31.400000000000176	male
male_247	23.90000000000007	male
male_251	16.99999999999997	male
male_256	9.099999999999984	male
