sample_id	N_sites	mean_depth	chromosome
SAR_family3_S5_offspring	243372578	17.7972	sar_3
SAR_family3_S6_offspring	243372578	17.4462	sar_3
SAR_family4_F_female	243372578	21.8503	sar_3
SAR_family4_M_male	243372578	25.5384	sar_3
SAR_family4_S1_offspring	243372578	18.7314	sar_3
SAR_family4_S2_offspring	243372578	19.8091	sar_3
SAR_family4_S3_offspring	243372578	22.6708	sar_3
SAR_family4_S4_offspring	243372578	21.3564	sar_3
SAR_family4_S5_offspring	243372577	19.8536	sar_3
SAR_family4_S6_offspring	243372578	21.5986	sar_3
SAR_family5_F_female	243372576	18.9761	sar_3
SAR_family5_M_male	243372577	26.686	sar_3
SAR_family5_S1_offspring	243372578	15.4829	sar_3
SAR_family5_S2_offspring	243372578	16.4565	sar_3
SAR_family5_S3_offspring	243372578	17.8249	sar_3
SAR_family5_S4_offspring	243372577	18.3207	sar_3
SAR_family5_S5_offspring	243372578	17.6342	sar_3
SAR_family5_S6_offspring	243372576	19.5711	sar_3
SAR_family1_F_female	174497443	15.4247	sar_4
SAR_family1_M_male	174497442	19.8371	sar_4
SAR_family1_S1_offspring	174497443	14.4669	sar_4
SAR_family1_S2_offspring	174497442	15.2927	sar_4
SAR_family1_S3_offspring	174497443	15.7489	sar_4
SAR_family1_S4_offspring	174497441	15.1263	sar_4
SAR_family1_S5_offspring	174497442	14.1053	sar_4
SAR_family1_S6_offspring	174497441	20.8229	sar_4
SAR_family2_F_female	174497442	16.2076	sar_4
SAR_family2_M_male	174497442	22.3445	sar_4
SAR_family2_S1_offspring	174497442	17.1013	sar_4
SAR_family2_S2_offspring	174497440	16.9573	sar_4
SAR_family2_S3_offspring	174497443	16.5732	sar_4
SAR_family2_S4_offspring	174497442	16.6451	sar_4
SAR_family2_S5_offspring	174497433	16.4383	sar_4
SAR_family2_S6_offspring	174497442	18.4215	sar_4
SAR_family3_F_female	174497443	13.7283	sar_4
SAR_family3_M_male	174497439	16.1643	sar_4
SAR_family3_S1_offspring	174497443	13.7396	sar_4
SAR_family3_S2_offspring	174497441	14.5773	sar_4
SAR_family3_S3_offspring	174497440	14.8221	sar_4
SAR_family3_S4_offspring	174497442	13.9333	sar_4
SAR_family3_S5_offspring	174497439	15.0666	sar_4
SAR_family3_S6_offspring	174497442	14.7503	sar_4
SAR_family4_F_female	174497440	18.4702	sar_4
SAR_family4_M_male	174497441	21.6545	sar_4
SAR_family4_S1_offspring	174497442	15.8917	sar_4
SAR_family4_S2_offspring	174497443	16.8736	sar_4
SAR_family4_S3_offspring	174497443	19.265	sar_4
SAR_family4_S4_offspring	174497442	18.1183	sar_4
SAR_family4_S5_offspring	174497438	16.9103	sar_4
SAR_family4_S6_offspring	174497441	18.435	sar_4
SAR_family5_F_female	174497443	16.0894	sar_4
SAR_family5_M_male	174497443	22.5893	sar_4
SAR_family5_S1_offspring	174497441	13.2094	sar_4
SAR_family5_S2_offspring	174497441	13.9855	sar_4
SAR_family5_S3_offspring	174497439	15.1466	sar_4
SAR_family5_S4_offspring	174497435	15.5557	sar_4
SAR_family5_S5_offspring	174497442	15.0031	sar_4
SAR_family5_S6_offspring	174497443	16.7019	sar_4
SAR_family1_F_female	170134700	19.5231	sar_5
SAR_family1_M_male	170134709	25.0324	sar_5
SAR_family1_S1_offspring	170134704	18.2497	sar_5
SAR_family1_S2_offspring	170134703	19.2442	sar_5
SAR_family1_S3_offspring	170134705	19.8326	sar_5
SAR_family1_S4_offspring	170134710	18.9878	sar_5
SAR_family1_S5_offspring	170134704	17.76	sar_5
SAR_family1_S6_offspring	170134712	26.0326	sar_5
SAR_family2_F_female	170134706	20.3052	sar_5
SAR_family2_M_male	170134708	28.1373	sar_5
SAR_family2_S1_offspring	170134705	21.3976	sar_5
SAR_family2_S2_offspring	170134706	21.2127	sar_5
SAR_family2_S3_offspring	170134709	20.6737	sar_5
SAR_family2_S4_offspring	170134704	20.8563	sar_5
SAR_family2_S5_offspring	170134704	20.5736	sar_5
SAR_family2_S6_offspring	170134708	23.249	sar_5
SAR_family3_F_female	170134703	17.5004	sar_5
SAR_family3_M_male	170134699	20.4042	sar_5
SAR_family3_S1_offspring	170134704	17.214	sar_5
SAR_family3_S2_offspring	170134711	18.316	sar_5
