sample_id	N_sites	mean_depth	chromosome
MIM_family2_S3_offspring	122853690	52.0417	mim_4
MIM_family2_S4_offspring	122853691	62.3105	mim_4
MIM_family2_S5_offspring	122853691	56.0763	mim_4
MIM_family2_S6_offspring	122853691	25.3012	mim_4
MIM_family3_F_female	122853690	28.6041	mim_4
MIM_family3_M_male	122853683	32.5448	mim_4
MIM_family3_S1_offspring	122853691	32.5936	mim_4
MIM_family3_S2_offspring	122853691	25.0057	mim_4
MIM_family3_S3_offspring	122853691	44.1032	mim_4
MIM_family3_S4_offspring	122853691	39.9885	mim_4
MIM_family3_S5_offspring	122853691	41.0032	mim_4
MIM_family3_S6_offspring	122853691	47.1896	mim_4
MIM_family4_F_female	122853690	38.3859	mim_4
MIM_family4_M_male	122853683	32.5448	mim_4
MIM_family4_S1_offspring	122853689	35.7078	mim_4
MIM_family4_S2_offspring	122853690	31.2632	mim_4
MIM_family4_S3_offspring	122853690	30.3186	mim_4
MIM_family4_S4_offspring	122853691	28.015	mim_4
MIM_family1_F_female	147030013	22.5263	mim_5
MIM_family1_M_male	147030016	42.8807	mim_5
MIM_family1_S1_offspring	147030015	47.6252	mim_5
MIM_family1_S2_offspring	147030017	39.1247	mim_5
MIM_family1_S3_offspring	147030017	37.6193	mim_5
MIM_family1_S4_offspring	147030016	25.7091	mim_5
MIM_family1_S5_offspring	147030017	26.4768	mim_5
MIM_family1_S6_offspring	147030017	35.343	mim_5
MIM_family2_F_female	147030014	49.0218	mim_5
MIM_family2_M_male	147030010	32.8145	mim_5
MIM_family2_S1_offspring	147030012	43.3683	mim_5
MIM_family2_S2_offspring	147030016	35.7812	mim_5
MIM_family2_S3_offspring	147030017	53.4628	mim_5
MIM_family2_S4_offspring	147030016	63.8574	mim_5
MIM_family2_S5_offspring	147030017	57.511	mim_5
MIM_family2_S6_offspring	147030017	26.0578	mim_5
MIM_family3_F_female	147030013	28.6838	mim_5
MIM_family3_M_male	147030012	33.1352	mim_5
MIM_family3_S1_offspring	147030016	33.4485	mim_5
MIM_family3_S2_offspring	147030014	25.6373	mim_5
MIM_family3_S3_offspring	147030016	45.2265	mim_5
MIM_family3_S4_offspring	147030017	41.061	mim_5
MIM_family3_S5_offspring	147030017	42.1549	mim_5
MIM_family3_S6_offspring	147030016	48.4447	mim_5
MIM_family4_F_female	147030017	38.7898	mim_5
MIM_family4_M_male	147030012	33.1352	mim_5
MIM_family4_S1_offspring	147030015	36.6072	mim_5
MIM_family4_S2_offspring	147030014	32.0674	mim_5
MIM_family4_S3_offspring	147030016	30.9771	mim_5
MIM_family4_S4_offspring	147030016	28.7998	mim_5
MIM_family1_F_female	128025848	22.9921	mim_6
MIM_family1_M_male	128025847	43.7203	mim_6
MIM_family1_S1_offspring	128025850	48.5097	mim_6
MIM_family1_S2_offspring	128025851	39.7281	mim_6
MIM_family1_S3_offspring	128025855	38.1171	mim_6
MIM_family1_S4_offspring	128025856	26.088	mim_6
MIM_family1_S5_offspring	128025854	26.85	mim_6
MIM_family1_S6_offspring	128025855	35.8807	mim_6
MIM_family2_F_female	128025854	49.7921	mim_6
MIM_family2_M_male	128025855	33.5256	mim_6
MIM_family2_S1_offspring	128025851	43.859	mim_6
MIM_family2_S2_offspring	128025856	36.2159	mim_6
MIM_family2_S3_offspring	128025855	54.2867	mim_6
MIM_family2_S4_offspring	128025856	64.3761	mim_6
MIM_family2_S5_offspring	128025856	58.3625	mim_6
MIM_family2_S6_offspring	128025856	26.3079	mim_6
MIM_family3_F_female	128025854	29.25	mim_6
MIM_family3_M_male	128025846	33.7121	mim_6
MIM_family3_S1_offspring	128025853	33.7875	mim_6
MIM_family3_S2_offspring	128025849	25.9455	mim_6
MIM_family3_S3_offspring	128025856	45.7996	mim_6
MIM_family3_S4_offspring	128025854	41.6646	mim_6
MIM_family3_S5_offspring	128025853	42.6258	mim_6
MIM_family3_S6_offspring	128025856	49.0671	mim_6
MIM_family4_F_female	128025854	39.6559	mim_6
MIM_family4_M_male	128025846	33.7121	mim_6
MIM_family4_S1_offspring	128025850	37.1064	mim_6
MIM_family4_S2_offspring	128025853	32.5015	mim_6
MIM_family4_S3_offspring	128025851	31.4832	mim_6
MIM_family4_S4_offspring	128025854	29.1919	mim_6
MIM_family1_F_female	241219309	22.8264	mim_7
MIM_family1_M_male	241219308	43.6325	mim_7
MIM_family1_S1_offspring	241219308	48.5094	mim_7
MIM_family1_S2_offspring	241219312	39.9564	mim_7
MIM_family1_S3_offspring	241219311	38.4093	mim_7
MIM_family1_S4_offspring	241219306	26.221	mim_7
