BIC	BIC_family1	BIC_family1_F_female	BIC_family1_M_male	BIC_family1_S1_offspring
BIC	BIC_family1	BIC_family1_F_female	BIC_family1_M_male	BIC_family1_S2_offspring
BIC	BIC_family1	BIC_family1_F_female	BIC_family1_M_male	BIC_family1_S3_offspring
BIC	BIC_family1	BIC_family1_F_female	BIC_family1_M_male	BIC_family1_S4_offspring
BIC	BIC_family1	BIC_family1_F_female	BIC_family1_M_male	BIC_family1_S5_offspring
BIC	BIC_family1	BIC_family1_F_female	BIC_family1_M_male	BIC_family1_S6_offspring
BIC	BIC_family2	BIC_family2_F_female	BIC_family2_M_male	BIC_family2_S1_offspring
BIC	BIC_family2	BIC_family2_F_female	BIC_family2_M_male	BIC_family2_S2_offspring
BIC	BIC_family2	BIC_family2_F_female	BIC_family2_M_male	BIC_family2_S3_offspring
BIC	BIC_family2	BIC_family2_F_female	BIC_family2_M_male	BIC_family2_S4_offspring
BIC	BIC_family2	BIC_family2_F_female	BIC_family2_M_male	BIC_family2_S5_offspring
BIC	BIC_family2	BIC_family2_F_female	BIC_family2_M_male	BIC_family2_S6_offspring
BIC	BIC_family3	BIC_family3_F_female	BIC_family3_M_male	BIC_family3_S1_offspring
BIC	BIC_family3	BIC_family3_F_female	BIC_family3_M_male	BIC_family3_S2_offspring
BIC	BIC_family3	BIC_family3_F_female	BIC_family3_M_male	BIC_family3_S3_offspring
BIC	BIC_family3	BIC_family3_F_female	BIC_family3_M_male	BIC_family3_S4_offspring
BIC	BIC_family3	BIC_family3_F_female	BIC_family3_M_male	BIC_family3_S5_offspring
BIC	BIC_family3	BIC_family3_F_female	BIC_family3_M_male	BIC_family3_S6_offspring
BIC	BIC_family4	BIC_family4_F_female	BIC_family4_M_male	BIC_family4_S1_offspring
BIC	BIC_family4	BIC_family4_F_female	BIC_family4_M_male	BIC_family4_S2_offspring
BIC	BIC_family4	BIC_family4_F_female	BIC_family4_M_male	BIC_family4_S3_offspring
BIC	BIC_family4	BIC_family4_F_female	BIC_family4_M_male	BIC_family4_S4_offspring
BIC	BIC_family4	BIC_family4_F_female	BIC_family4_M_male	BIC_family4_S5_offspring
BIC	BIC_family4	BIC_family4_F_female	BIC_family4_M_male	BIC_family4_S6_offspring
BIC	BIC_family5	BIC_family5_F_female	BIC_family5_M_male	BIC_family5_S1_offspring
