ind_id	birth_time	relative_first_mating_time	sex
male_7	0	5.4999999999999964	male
male_12	0	21.400000000000034	male
male_24	0	4.799999999999999	male
male_25	0	6.799999999999992	male
male_26	0	13.799999999999967	male
male_28	0	2.500000000000001	male
male_40	0	31.300000000000175	male
male_42	0	19.400000000000006	male
male_49	0	13.799999999999967	male
male_52	2.0000000000000004	8.29999999999998	male
male_54	2.0000000000000004	10.79999999999997	male
male_56	2.0000000000000004	18.700000000000024	male
male_57	2.0000000000000004	14.099999999999959	male
male_58	2.0000000000000004	7.199999999999983	male
male_71	2.0000000000000004	5.899999999999988	male
male_83	2.0000000000000004	5.599999999999989	male
male_91	2.0000000000000004	20.700000000000053	male
male_92	2.0000000000000004	18.30000000000002	male
male_100	4.000000000000002	22.1000000000001	male
male_109	4.000000000000002	2.199999999999992	male
male_125	4.000000000000002	12.99999999999997	male
male_134	4.000000000000002	5.399999999999981	male
male_146	4.000000000000002	1.999999999999993	male
male_149	4.000000000000002	4.799999999999983	male
male_153	6.099999999999994	33.4000000000003	male
male_157	6.099999999999994	7.099999999999975	male
male_162	6.099999999999994	2.8999999999999897	male
male_166	6.099999999999994	7.799999999999972	male
male_168	6.099999999999994	13.700000000000017	male
male_173	6.099999999999994	8.699999999999969	male
male_174	6.099999999999994	8.29999999999997	male
male_176	6.099999999999994	5.1999999999999815	male
male_180	6.099999999999994	6.399999999999977	male
male_182	6.099999999999994	41.700000000000415	male
male_183	6.099999999999994	18.90000000000009	male
male_190	6.099999999999994	14.000000000000021	male
male_199	6.099999999999994	16.80000000000006	male
male_204	8.099999999999987	1.1999999999999957	male
male_210	8.099999999999987	6.699999999999976	male
male_216	8.099999999999987	11.600000000000023	male
male_217	8.099999999999987	1.2999999999999954	male
male_218	8.099999999999987	1.4999999999999947	male
male_220	8.099999999999987	8.59999999999998	male
male_224	8.099999999999987	12.700000000000038	male
male_226	8.099999999999987	9.899999999999999	male
male_227	8.099999999999987	10.500000000000007	male
male_230	8.099999999999987	2.3999999999999915	male
male_236	8.099999999999987	7.299999999999974	male
male_237	8.099999999999987	8.699999999999982	male
male_238	8.099999999999987	13.200000000000045	male
male_243	8.099999999999987	2.5999999999999908	male
male_246	8.099999999999987	2.6999999999999904	male
male_249	8.099999999999987	4.999999999999982	male
male_250	10.09999999999998	16.800000000000132	male
male_255	10.09999999999998	19.40000000000017	male
male_264	10.09999999999998	4.499999999999984	male
male_266	10.09999999999998	1.399999999999995	male
male_268	10.09999999999998	2.499999999999991	male
male_272	10.09999999999998	5.399999999999981	male
male_278	10.09999999999998	10.700000000000045	male
male_282	10.09999999999998	21.100000000000193	male
