sample_id	N_sites	mean_depth	chromosome
BIC_family3_S5_offspring	217284898	25.3737	bic_3
BIC_family3_S6_offspring	217284837	26.5303	bic_3
BIC_family4_F_female	217284870	23.9583	bic_3
BIC_family4_M_male	217284921	27.4623	bic_3
BIC_family4_S1_offspring	217284910	27.8407	bic_3
BIC_family4_S2_offspring	217284905	27.8279	bic_3
BIC_family4_S3_offspring	217284871	28.1495	bic_3
BIC_family4_S4_offspring	217284908	25.6646	bic_3
BIC_family4_S5_offspring	217284919	25.9706	bic_3
BIC_family4_S6_offspring	217284869	25.5791	bic_3
BIC_family5_F_female	217284903	24.1883	bic_3
BIC_family5_M_male	217284904	27.0757	bic_3
BIC_family5_S1_offspring	217284906	25.7186	bic_3
BIC_family5_S2_offspring	217284916	27.8559	bic_3
BIC_family5_S3_offspring	217284929	26.1336	bic_3
BIC_family5_S4_offspring	217284931	25.7078	bic_3
BIC_family5_S5_offspring	217284909	25.6246	bic_3
BIC_family5_S6_offspring	217284902	27.9414	bic_3
BIC_family1_F_female	134897320	24.9145	bic_4
BIC_family1_M_male	134897329	27.3827	bic_4
BIC_family1_S1_offspring	134897321	25.3506	bic_4
BIC_family1_S2_offspring	134897347	25.5546	bic_4
BIC_family1_S3_offspring	134897309	25.4454	bic_4
BIC_family1_S4_offspring	134897328	28.0393	bic_4
BIC_family1_S5_offspring	134897323	27.9055	bic_4
BIC_family1_S6_offspring	134897336	25.151	bic_4
BIC_family2_F_female	134897310	17.8842	bic_4
BIC_family2_M_male	134897342	27.153	bic_4
BIC_family2_S1_offspring	134897314	25.1392	bic_4
BIC_family2_S2_offspring	134897330	25.8119	bic_4
BIC_family2_S3_offspring	134897317	25.6648	bic_4
BIC_family2_S4_offspring	134897343	25.5641	bic_4
BIC_family2_S5_offspring	134897330	24.5769	bic_4
BIC_family2_S6_offspring	134897330	26.9529	bic_4
BIC_family3_F_female	134897351	22.7421	bic_4
BIC_family3_M_male	134897350	27.6895	bic_4
BIC_family3_S1_offspring	134897338	25.0853	bic_4
BIC_family3_S2_offspring	134897338	25.6735	bic_4
BIC_family3_S3_offspring	134897316	26.9068	bic_4
BIC_family3_S4_offspring	134897354	27.9625	bic_4
BIC_family3_S5_offspring	134897338	25.4536	bic_4
BIC_family3_S6_offspring	134897292	26.5727	bic_4
BIC_family4_F_female	134897292	23.9976	bic_4
BIC_family4_M_male	134897348	27.8668	bic_4
BIC_family4_S1_offspring	134897340	27.7795	bic_4
BIC_family4_S2_offspring	134897331	27.8367	bic_4
BIC_family4_S3_offspring	134897326	27.9472	bic_4
BIC_family4_S4_offspring	134897332	25.7806	bic_4
BIC_family4_S5_offspring	134897345	25.8294	bic_4
BIC_family4_S6_offspring	134897323	25.5823	bic_4
BIC_family5_F_female	134897327	24.0832	bic_4
BIC_family5_M_male	134897341	27.2389	bic_4
BIC_family5_S1_offspring	134897315	25.6938	bic_4
BIC_family5_S2_offspring	134897325	27.9501	bic_4
BIC_family5_S3_offspring	134897336	26.0164	bic_4
BIC_family5_S4_offspring	134897348	25.5714	bic_4
BIC_family5_S5_offspring	134897327	25.6586	bic_4
BIC_family5_S6_offspring	134897340	27.7429	bic_4
BIC_family1_F_female	164417125	23.8555	bic_5
BIC_family1_M_male	164417185	26.6853	bic_5
BIC_family1_S1_offspring	164417151	24.544	bic_5
BIC_family1_S2_offspring	164417134	24.7043	bic_5
BIC_family1_S3_offspring	164417151	24.9197	bic_5
BIC_family1_S4_offspring	164417152	27.0363	bic_5
BIC_family1_S5_offspring	164417175	27.1265	bic_5
BIC_family1_S6_offspring	164417169	24.4256	bic_5
BIC_family2_F_female	164416971	15.9838	bic_5
BIC_family2_M_male	164417173	26.6242	bic_5
BIC_family2_S1_offspring	164417149	24.4713	bic_5
BIC_family2_S2_offspring	164417157	24.1653	bic_5
BIC_family2_S3_offspring	164417222	25.3032	bic_5
BIC_family2_S4_offspring	164417093	24.0323	bic_5
BIC_family2_S5_offspring	164417145	23.8228	bic_5
BIC_family2_S6_offspring	164417145	25.7144	bic_5
BIC_family3_F_female	164417177	21.7049	bic_5
BIC_family3_M_male	164417174	26.4975	bic_5
BIC_family3_S1_offspring	164417178	23.3043	bic_5
BIC_family3_S2_offspring	164417167	23.8937	bic_5
BIC_family3_S3_offspring	164417091	24.9161	bic_5
BIC_family3_S4_offspring	164417197	26.6465	bic_5
BIC_family3_S5_offspring	164417191	24.4837	bic_5
BIC_family3_S6_offspring	164417112	24.9735	bic_5
BIC_family4_F_female	164417112	22.6193	bic_5
BIC_family4_M_male	164416917	25.1693	bic_5
BIC_family4_S1_offspring	164416963	25.5971	bic_5
BIC_family4_S2_offspring	164417151	26.0981	bic_5
BIC_family4_S3_offspring	164416957	25.852	bic_5
BIC_family4_S4_offspring	164416917	23.6308	bic_5
BIC_family4_S5_offspring	164417101	24.1757	bic_5
BIC_family4_S6_offspring	164416900	23.6026	bic_5
BIC_family5_F_female	164417058	22.7508	bic_5
BIC_family5_M_male	164417170	25.3052	bic_5
BIC_family5_S1_offspring	164417156	24.0643	bic_5
BIC_family5_S2_offspring	164417195	26.1783	bic_5
BIC_family5_S3_offspring	164417166	25.0315	bic_5
BIC_family5_S4_offspring	164417116	23.8971	bic_5
BIC_family5_S5_offspring	164417166	24.0767	bic_5
BIC_family5_S6_offspring	164417151	26.1117	bic_5
BIC_family1_F_female	130125303	25.272	bic_6
BIC_family1_M_male	130125306	28.1946	bic_6
BIC_family1_S1_offspring	130125311	25.9257	bic_6
BIC_family1_S2_offspring	130125303	26.1072	bic_6
BIC_family1_S3_offspring	130125304	26.3748	bic_6
BIC_family1_S4_offspring	130125314	28.4973	bic_6
BIC_family1_S5_offspring	130125325	28.5846	bic_6
BIC_family1_S6_offspring	130125330	25.8012	bic_6
BIC_family2_F_female	130125294	17.9977	bic_6
BIC_family2_M_male	130125319	28.2916	bic_6
BIC_family2_S1_offspring	130125316	26.0663	bic_6
BIC_family2_S2_offspring	130125312	26.2446	bic_6
BIC_family2_S3_offspring	130125285	26.6971	bic_6
BIC_family2_S4_offspring	130125329	26.1934	bic_6
BIC_family2_S5_offspring	130125282	25.1909	bic_6
BIC_family2_S6_offspring	130125332	27.9736	bic_6
BIC_family3_F_female	130125319	23.3002	bic_6
BIC_family3_M_male	130125335	28.3966	bic_6
BIC_family3_S1_offspring	130125337	25.4315	bic_6
BIC_family3_S2_offspring	130125329	26.0926	bic_6
BIC_family3_S3_offspring	130125312	27.6268	bic_6
BIC_family3_S4_offspring	130125344	28.3746	bic_6
BIC_family3_S5_offspring	130125343	26.0342	bic_6
BIC_family3_S6_offspring	130125306	27.1986	bic_6
BIC_family4_F_female	130125313	24.5396	bic_6
BIC_family4_M_male	130125308	28.0336	bic_6
BIC_family4_S1_offspring	130125326	28.4897	bic_6
BIC_family4_S2_offspring	130125334	28.4251	bic_6
BIC_family4_S3_offspring	130125303	28.7557	bic_6
BIC_family4_S4_offspring	130125317	26.2669	bic_6
BIC_family4_S5_offspring	130125340	26.4296	bic_6
BIC_family4_S6_offspring	130125328	26.1388	bic_6
BIC_family5_F_female	130125296	24.6159	bic_6
BIC_family5_M_male	130125314	27.6268	bic_6
BIC_family5_S1_offspring	130125325	26.0542	bic_6
BIC_family5_S2_offspring	130125338	28.4047	bic_6
BIC_family5_S3_offspring	130125342	26.5282	bic_6
BIC_family5_S4_offspring	130125333	26.0952	bic_6
BIC_family5_S5_offspring	130125316	26.6037	bic_6
BIC_family5_S6_offspring	130125323	28.3763	bic_6
BIC_family1_F_female	180697990	26.1167	bic_7
BIC_family1_M_male	180697962	29.4956	bic_7
BIC_family1_S1_offspring	180697981	27.0554	bic_7
BIC_family1_S2_offspring	180697958	27.1216	bic_7
BIC_family1_S3_offspring	180697979	27.5185	bic_7
BIC_family1_S4_offspring	180697988	29.8073	bic_7
BIC_family1_S5_offspring	180697999	29.9864	bic_7
BIC_family1_S6_offspring	180697971	26.8316	bic_7
BIC_family2_F_female	180697944	17.4731	bic_7
BIC_family2_M_male	180697964	29.3846	bic_7
BIC_family2_S1_offspring	180697967	26.9396	bic_7
BIC_family2_S2_offspring	180697998	27.2139	bic_7
BIC_family2_S3_offspring	180698006	27.8835	bic_7
BIC_family2_S4_offspring	180697985	27.2301	bic_7
BIC_family2_S5_offspring	180697960	26.2533	bic_7
BIC_family2_S6_offspring	180697954	29.1386	bic_7
BIC_family3_F_female	180698012	24.3952	bic_7
BIC_family3_M_male	180698017	28.9414	bic_7
BIC_family3_S1_offspring	180697994	26.4779	bic_7
BIC_family3_S2_offspring	180698002	27.0364	bic_7
BIC_family3_S3_offspring	180697960	28.7925	bic_7
BIC_family3_S4_offspring	180698006	29.7122	bic_7
BIC_family3_S5_offspring	180697988	26.3863	bic_7
BIC_family3_S6_offspring	180697958	27.5856	bic_7
BIC_family4_F_female	180697986	25.2496	bic_7
BIC_family4_M_male	180698005	28.9633	bic_7
BIC_family4_S1_offspring	180697998	29.5743	bic_7
BIC_family4_S2_offspring	180697994	29.5827	bic_7
BIC_family4_S3_offspring	180698014	29.9984	bic_7
BIC_family4_S4_offspring	180698003	27.2575	bic_7
BIC_family4_S5_offspring	180697985	27.5926	bic_7
BIC_family4_S6_offspring	180698001	27.1586	bic_7
BIC_family5_F_female	180697982	25.4046	bic_7
BIC_family5_M_male	180698017	28.4621	bic_7
BIC_family5_S1_offspring	180697985	27.0388	bic_7
BIC_family5_S2_offspring	180698010	29.3313	bic_7
BIC_family5_S3_offspring	180698000	27.6596	bic_7
BIC_family5_S4_offspring	180697991	27.1541	bic_7
BIC_family5_S5_offspring	180697991	27.0164	bic_7
BIC_family5_S6_offspring	180698008	29.4653	bic_7
BIC_family1_F_female	217378516	25.7976	bic_8
BIC_family1_M_male	217378561	28.9228	bic_8
BIC_family1_S1_offspring	217378544	26.5345	bic_8
BIC_family1_S2_offspring	217378515	26.7041	bic_8
BIC_family1_S3_offspring	217378552	26.955	bic_8
BIC_family1_S4_offspring	217378565	29.3431	bic_8
BIC_family1_S5_offspring	217378562	29.3248	bic_8
BIC_family1_S6_offspring	217378558	26.3288	bic_8
BIC_family2_F_female	217378480	17.5488	bic_8
BIC_family2_M_male	217378551	28.7617	bic_8
BIC_family2_S1_offspring	217378501	26.4617	bic_8
BIC_family2_S2_offspring	217378542	26.7507	bic_8
BIC_family2_S3_offspring	217378542	27.2867	bic_8
BIC_family2_S4_offspring	217378513	26.6977	bic_8
BIC_family2_S5_offspring	217378523	25.7594	bic_8
BIC_family2_S6_offspring	217378550	28.6235	bic_8
BIC_family3_F_female	217378520	23.932	bic_8
BIC_family3_M_male	217378586	28.653	bic_8
BIC_family3_S1_offspring	217378580	25.8554	bic_8
BIC_family3_S2_offspring	217378554	26.6325	bic_8
BIC_family3_S3_offspring	217378530	28.0491	bic_8
BIC_family3_S4_offspring	217378590	28.9573	bic_8
